,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,reyes,40,BO,1531000800,66,-14.3,-67.34,84.2,2.71
1,bonavista,12,CA,1531002287,65,48.65,-53.11,57.73,19.93
2,oranjemund,0,ZA,1531002287,75,-28.55,16.43,65.92,16.02
3,illoqqortoormiut,,,,,,,,
4,chokurdakh,8,RU,1531002287,86,70.62,147.9,45.4,15.68
5,yellowknife,75,CA,1531000800,50,62.45,-114.38,57.2,19.46
6,barrow,92,AR,1531002287,96,-38.31,-60.23,45.94,7.4
7,solnechnyy,80,RU,1531002288,88,50.72,136.64,62.14,2.71
8,rikitea,8,PF,1531002288,100,-23.12,-134.97,74.29,12.1
9,codrington,0,AU,1531002288,50,-28.95,153.24,46.12,5.84
10,kabalo,0,CD,1531001998,46,-6.05,26.92,74.56,11.21
11,punta arenas,0,CL,1530997200,100,-53.16,-70.91,35.6,10.29
12,vestmannaeyjar,92,IS,1531002289,100,63.44,-20.27,48.64,9.64
13,taolanaro,,,,,,,,
14,esperance,20,TT,1531000800,62,10.24,-61.45,84.2,11.41
15,cape town,0,ZA,1531000800,87,-33.93,18.42,46.4,3.36
16,srednekolymsk,20,RU,1531002289,62,67.46,153.71,65.47,6.62
17,hobart,40,AU,1531000800,80,-42.88,147.33,41,19.46
18,tomatlan,8,MX,1531002289,85,19.93,-105.25,82.48,3.27
19,hovd,0,NO,1531000200,81,63.83,10.7,50,3.36
20,lorengau,48,PG,1531002290,100,-2.02,147.27,81.31,14.9
21,bethel,90,US,1531000380,87,60.79,-161.76,59,9.17
22,mys shmidta,,,,,,,,
23,mataura,24,NZ,1531002290,79,-46.19,168.86,39.91,5.61
24,saint george,40,GR,1531000200,94,39.45,22.34,69.8,1.59
25,antofagasta,75,CL,1530997200,76,-23.65,-70.4,57.2,8.05
26,lata,56,IN,1531002291,100,30.78,78.62,61.51,1.81
27,qasigiannguit,75,GL,1531000200,56,68.82,-51.19,44.6,14.99
28,portland,20,US,1531000560,36,45.52,-122.67,78.8,10.29
29,huarmey,0,PE,1531002292,67,-10.07,-78.15,69.34,3.49
30,acarau,,,,,,,,
31,faanui,0,PF,1531002292,100,-16.48,-151.75,79.96,11.21
32,moindou,75,NC,1531000800,72,-21.69,165.68,68,2.24
33,lixourion,0,GR,1531000200,83,38.2,20.43,73.4,20.8
34,attawapiskat,,,,,,,,
35,port alfred,0,ZA,1531002293,98,-33.59,26.89,59.44,7.4
36,kurilsk,92,RU,1531002293,100,45.23,147.88,47.56,10.76
37,ponta do sol,0,BR,1531002293,50,-20.63,-46,67.9,4.5
38,iskateley,24,RU,1531002293,74,67.68,53.15,47.2,20.27
39,nguiu,,,,,,,,
40,jerantut,92,MY,1531002294,97,3.94,102.37,72.31,1.92
41,harper,40,US,1531000500,61,30.3,-99.24,89.6,10.29
42,vinderup,8,DK,1531000200,87,56.48,8.79,53.6,5.82
43,butaritari,32,KI,1531002294,100,3.07,172.79,81.85,10.87
44,bac lieu,,,,,,,,
45,new norfolk,40,AU,1531000800,80,-42.78,147.06,41,19.46
46,pinotepa nacional,,,,,,,,
47,diffa,68,NE,1531002295,61,13.32,12.61,83.74,4.94
48,norman wells,90,CA,1531000800,67,65.28,-126.83,57.2,6.93
49,busselton,0,AU,1531002295,100,-33.64,115.35,53.41,15.23
50,altay,0,CN,1531002296,51,47.83,88.13,47.56,4.83
51,severo-kurilsk,20,RU,1531002296,96,50.68,156.12,47.11,4.38
52,sann,0,PK,1530997200,55,26.04,68.14,89.6,11.41
53,hermanus,0,ZA,1531002296,72,-34.42,19.24,41.44,2.71
54,wattegama,92,LK,1531002296,99,7.35,80.68,68.98,5.5
55,hilo,40,US,1531001700,74,19.71,-155.08,82.4,11.41
56,yumen,0,CN,1531002297,51,40.29,97.04,59.08,11.54
57,vaitupu,,,,,,,,
58,clyde river,20,CA,1531000800,66,70.47,-68.59,48.2,10.29
59,lolua,,,,,,,,
60,ushuaia,40,AR,1530997200,74,-54.81,-68.31,35.6,6.93
61,hailar,88,CN,1531002103,100,49.2,119.7,62.14,9.19
62,qaanaaq,76,GL,1531002298,95,77.48,-69.36,32.8,4.16
63,kapaa,90,US,1531000800,83,22.08,-159.32,86,19.46
64,belushya guba,,,,,,,,
65,pangkalanbuun,68,ID,1531002298,92,-2.68,111.62,74.83,3.94
66,akdepe,0,TM,1530999000,39,42.05,59.39,86,2.24
67,kenai,20,US,1531000560,87,60.55,-151.26,69.8,14.99
68,toliary,,,,,,,,
69,kungurtug,0,RU,1531002302,86,50.6,97.53,26.95,2.37
70,brewster,1,US,1531001700,49,41.76,-70.08,73.4,5.82
71,port lincoln,76,AU,1531002303,92,-34.72,135.86,56.92,12.44
72,port elizabeth,1,US,1531000560,44,39.31,-74.98,78.8,12.75
73,kamenskoye,,,,,,,,
74,upernavik,20,GL,1531002304,100,72.79,-56.15,34.96,13
75,bassano,0,CA,1531002304,51,50.79,-112.47,76.9,8.97
76,saskylakh,88,RU,1531002304,89,71.97,114.09,39.64,9.86
77,dingle,36,PH,1531002304,87,11,122.67,77.53,6.17
78,totness,75,US,1531000560,74,33.74,-80.8,84.2,16.11
79,nigde,0,TR,1531002304,74,37.97,34.68,50.71,1.36
80,puerto ayora,90,EC,1531000800,61,-0.74,-90.35,78.8,13.87
81,labuhan,20,ID,1531002305,98,-2.54,115.51,70.96,2.15
82,bull savanna,0,JM,1531002305,45,17.89,-77.59,88.96,9.31
83,hasaki,75,JP,1530999000,94,35.73,140.83,78.8,6.93
84,vaini,92,IN,1531002305,99,15.34,74.49,67.81,4.27
85,samusu,,,,,,,,
86,tateyama,75,JP,1530997800,100,36.66,137.31,69.8,1.12
87,beringovskiy,92,RU,1531002306,100,63.05,179.32,48.64,12.44
88,sao joao da barra,0,BR,1531000800,83,-21.64,-41.05,71.6,6.93
89,poum,20,MK,1530997200,82,41.28,20.71,60.8,2.24
90,east london,0,ZA,1531002307,100,-33.02,27.91,66.46,14.12
91,necochea,92,AR,1531002307,97,-38.55,-58.74,47.2,9.31
92,abha,5,SA,1531000800,60,18.22,42.5,71.6,9.17
93,lebu,56,ET,1531002307,95,8.96,38.73,50.8,2.93
94,whitley bay,40,GB,1531000200,63,55.04,-1.44,66.2,4.7
95,kaiyuan,92,CN,1531002308,86,42.54,124.04,66.64,12.66
96,santa maria,90,BR,1530997200,88,-29.69,-53.81,64.4,11.41
97,port blair,80,IN,1531002309,100,11.67,92.75,80.5,20.94
98,labutta,,,,,,,,
99,leningradskiy,100,RU,1531002309,96,69.38,178.42,33.52,11.43
100,kamina,0,CD,1531002310,57,-8.74,25,63.13,7.74
101,arraial do cabo,0,BR,1531000800,88,-22.97,-42.02,73.4,11.41
102,golden,75,CA,1531000800,43,51.3,-116.96,69.8,4.7
103,jamestown,68,AU,1531002311,94,-33.21,138.6,46.66,11.99
